primary_category,total_products,underserved_products,avg_protein,avg_sugar,underserved_share,protein_gap,sugar_gap,distance_score,gap_score
sweet snacks,12173,288,5.473239181870597,24.320860061064668,0.02365891727593855,0.4526760818129403,11.160430030532334,5.806553056172637,223.59777245804233
protein bars,286,36,7.111593994964256,20.89620919980881,0.1258741258741259,0.2888406005035744,9.448104599904404,4.868472600203989,186.9390016723304
dairy & alternatives,9236,1499,6.904663401885534,8.224684180343901,0.1622996968384582,0.3095336598114466,3.1123420901719507,1.7109378749916986,113.21296811655984
breakfast cereals,11473,1131,9.118050872288745,8.262488188965602,0.09857927307591736,0.08819491277112554,3.131244094482801,1.6097195036269631,104.88870684220973
nuts & seeds,1747,171,16.104743911466453,6.773111829680309,0.09788208357183743,0.0,2.3865559148401543,1.1932779574200771,82.91768486086346
ready-to-eat meals,309,95,11.990461625021798,3.8646714179231867,0.3074433656957929,0.0,0.9323357089615933,0.4661678544807967,73.41223369139915
salty snacks,1560,21,5.695044661810505,3.2455190056657077,0.013461538461538462,0.43049553381894945,0.6227595028328539,0.5266275183259017,53.91038899850806
